competition_name,city,start_date,end_date,competition_type,competition_id
Międzywojewódzkie Mistrzostwa-Strefa C,ŁÓDŹ,2017-06-09,2017-06-10,Miedzywojewódzkie Mistrzostwa Młodzików,87471171
Międzywojewódzkie Mistrzostwa Młodzików strefa D,BIAŁYSTOK,2019-06-21,2019-06-22,Miedzywojewódzkie Mistrzostwa Młodzików,88759583
Puchar Polski,KROTOSZYN,2015-02-22,2015-02-22,Puchar Polski,89237218
Mistrzostwa Polski,KORONOWO,2021-06-04,2021-06-05,Mistrzostwa Polski,91188621
Mistrzostwa Polski,PYRZYCE,2020-10-03,2020-10-03,Mistrzostwa Polski,91237218
Puchar Polski,NOWINY,2021-05-07,2021-05-08,Puchar Polski,91255308
Puchar Polski,WARSZAWA,2015-10-09,2015-10-10,Puchar Polski,91315424
Międzywojewódzkie Mistrzostwa - Strefa A,POZNAŃ,2016-03-12,2016-03-13,Miedzywojewódzkie Mistrzostwa Młodzików,92037391
Międzywojewódzkie Mistrzostwa-Strefa C,ROPCZYCE,2015-10-02,2015-10-03,Miedzywojewódzkie Mistrzostwa Młodzików,92728452
Międzywojewódzkie Mistrzostwa Młodzików Strefy B,KRAKÓW,2020-11-06,2020-11-06,Miedzywojewódzkie Mistrzostwa Młodzików,93757834
Mistrzostwa Polski,MYŚLENICE,2020-09-26,2020-09-26,Mistrzostwa Polski,94940211
Międzywojewódzkie Mistrzostwa- Strefa B,SKARBIMIERZ,2015-09-18,2015-09-19,Miedzywojewódzkie Mistrzostwa Młodzików,96615623
Międzywojewódzkie Mistrzostwa-Strefa C,ZAMOŚĆ,2016-10-01,2016-10-02,Miedzywojewódzkie Mistrzostwa Młodzików,96750094
Puchar Polski,SIEDLCE,2016-06-04,2016-06-05,Puchar Polski,97238990
Puchar Polski,SITKÓWKA-NOWINY,2019-05-10,2019-05-11,Puchar Polski,98521630
